date,commodity,expiry,strike,call_put,settle_price,volume,open_interest,oi_change,delta,implied_vol_pct,black76_price,futures_price,underlying_fut,dte,time_to_expiry_yrs
2026-04-02,CT,DEC26,45.0000,P,0.0600,0,351,0,0.0099,29.3100,0.0600,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,50.0000,P,0.0800,0,15,0,0.0140,24.8600,0.0800,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,53.0000,P,0.0900,0,1,0,0.0187,22.0900,0.0900,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,55.0000,P,0.1200,0,154,0,0.0238,21.0100,0.1200,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,59.0000,P,0.1800,0,300,0,0.0399,18.2400,0.1800,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,60.0000,C,15.0600,0,1,0,0.9784,19.6800,14.9057,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,60.0000,P,0.2100,0,1751,0,0.0461,19.6800,0.3355,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,61.0000,P,0.2400,0,1841,0,0.0538,17.1400,0.2400,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,62.0000,P,0.2800,0,2771,0,0.0634,16.6300,0.2800,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,63.0000,P,0.3400,0,2568,0,0.0750,16.2800,0.3400,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,64.0000,C,11.2600,0,241,0,0.9301,16.6900,11.1663,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,64.0000,P,0.4000,8,2612,-4,0.0895,16.6900,0.4867,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,65.0000,C,10.3700,0,119,0,0.9075,16.3700,10.2916,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,65.0000,P,0.5100,2,3463,2,0.1097,16.3700,0.5846,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,66.0000,C,9.5300,0,4,0,0.8790,16.2900,9.4662,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,66.0000,P,0.6700,62,2957,0,0.1354,16.2900,0.7319,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,67.0000,C,8.7300,178,1155,53,0.8462,16.2600,8.6754,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,67.0000,P,0.8600,500,1441,500,0.1653,16.2600,0.9137,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,68.0000,C,7.9900,22,3194,-22,0.8091,16.4100,7.9443,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,68.0000,P,1.1100,0,3054,0,0.1996,16.4100,1.1553,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,69.0000,C,7.3100,0,3865,0,0.7691,16.6700,7.2731,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,69.0000,P,1.4200,16,1897,6,0.2371,16.6700,1.4567,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,70.0000,C,6.6900,271,8628,195,0.7279,16.9900,6.6569,74.9800,DEC26,225,0.6164
